"species","HRR","LRR"
"Alouatta.belzebul",1,1
"Alouatta.caraya",1,1
"Alouatta.discolor",1,1
"Alouatta.guariba",0,1
"Alouatta.juara",1,0
"Alouatta.macconnelli",1,1
"Alouatta.nigerrima",1,0
"Alouatta.puruensis",1,0
"Alouatta.sara",1,0
"Alouatta.ululata",0,1
"Aotus.azarae",1,1
"Aotus.nancymaae",1,0
"Aotus.nigriceps",1,0
"Aotus.trivirgatus",1,0
"Aotus.vociferans",1,0
"Ateles.belzebuth",1,0
"Ateles.chamek",1,1
"Ateles.marginatus",1,1
"Ateles.paniscus",1,1
"Callicebus.baptista",1,0
"Callicebus.barbarabrownae",0,1
"Callicebus.bernhardi",1,0
"Callicebus.brunneus",1,0
"Callicebus.caligatus",1,0
"Callicebus.cinerascens",1,0
"Callicebus.coimbrai",0,1
"Callicebus.cupreus",1,0
"Callicebus.donacophilus",1,0
"Callicebus.dubius",1,0
"Callicebus.hoffmannsi",1,0
"Callicebus.lucifer",1,0
"Callicebus.lugens",1,0
"Callicebus.melanochir",0,1
"Callicebus.moloch",1,1
"Callicebus.nigrifrons",0,1
"Callicebus.pallescens",0,1
"Callicebus.personatus",0,1
"Callicebus.purinus",1,0
"Callicebus.regulus",1,0
"Callicebus.stephennashi",1,0
"Callicebus.torquatus",1,0
"Callithrix.aurita",0,1
"Callithrix.flaviceps",0,1
"Callithrix.geoffroyi",0,1
"Callithrix.jacchus",0,1
"Callithrix.kuhlii",0,1
"Callithrix.penicillata",1,1
"Cebus.albifrons",1,0
"Cebus.kaapori",1,1
"Lagothrix.cana",1,0
"Lagothrix.lagotricha",1,0
"Lagothrix.poeppigii",1,0
"Saguinus.bicolor",1,0
"Saguinus.fuscicollis",1,0
"Saguinus.imperator",1,0
"Saguinus.inustus",1,0
"Saguinus.labiatus",1,0
"Saguinus.martinsi",1,0
"Saguinus.melanoleucus",1,0
"Saguinus.midas",1,1
"Saguinus.mystax",1,0
"Saguinus.niger",1,1
"Saguinus.nigricollis",1,0
"Saimiri.boliviensis",1,0
"Saimiri.sciureus",1,1
"Saimiri.ustus",1,1
"Saimiri.vanzolinii",1,0
